code,weight,marginal_risk_contrib,risk_contrib,risk_contrib_pct
AEU,0.23607777865119325,0.0009038958427661625,0.0002133897226922839,0.24172815496336075
USAS,0.09194986892275388,0.0013651311156651087,0.0001255236271477795,0.14219332783189723
BRC,0.088009085872808,0.001349065686378234,0.00011873003784052064,0.1344975410428089
ASL,0.09185425446403199,0.0007502690072047282,6.891540030425975e-05,0.07806745495486093
PZG,0.06359355516705055,0.000852876045294964,5.4237419837121193e-05,0.061440219621573026
ASM,0.017262859185003466,0.002649522478741745,4.573833345802008e-05,0.05181244353482604
HYMC,0.01937584405497625,0.0014917210271080225,2.8903353994774043e-05,0.03274175693777332
AGMR,0.025895069786697728,0.0009501034670112936,2.460299558284091e-05,0.027870305344498664
ALK,0.05042207180447995,0.00045408790194578525,2.2896052797456032e-05,0.025936678340661583
ITR,0.0348322999784929,0.0006432061522751982,2.240434964406189e-05,0.025379676369994837
SICO,0.027114982478484772,0.0008175392900072501,2.2167563524019467e-05,0.025111444745731813
AEM,0.027434486239065334,0.0005745032348577771,1.5761201091004204e-05,0.017854309062620664
AUMB,0.014193919063373637,0.0010492114046635396,1.4892421758162847e-05,0.016870154706223283
DSV,0.012565798900290776,0.0010499854972429946,1.3193906606577286e-05,0.014946074536897783
APM,0.011559882727257026,0.0010237853047091181,1.1834838060326506e-05,0.013406519922884419
LG,0.010723256213440516,0.0008783234520131788,9.418487414210842e-06,0.010669274773208871
BLLG,0.014193919063373637,0.0005571804066486357,7.908573595668345e-06,0.008958842438863097
NEM,0.013078708937276105,0.0005927261713134706,7.752093074114936e-06,0.008781581100849383
AYA,0.008601680242349898,0.0008119603730703286,6.984223498610097e-06,0.007911737448599323
UG,0.020970617492232592,0.0003110378986894105,6.52265679900342e-06,0.007388874091916755
GGP,0.006291147380557412,0.0008803997430990762,5.538724537641172e-06,0.0062742743485589
FTEL,0.009334560335064114,0.00047931050474337507,4.4741528257570685e-06,0.005068326130935409
HL,0.004538018412779253,0.0009217608335534271,4.182967634844204e-06,0.0047384711685503535
CMM,0.005814589771442583,0.000699197678875318,4.0655476718048195e-06,0.004605457681943471
TUF,0.011074426346736397,0.0003288694831990989,3.642040869377684e-06,0.0041257086262086245
ELE,0.004271824446325188,0.0008076170852652532,3.449998408106003e-06,0.003908162676703041
TIG,0.004299242602372046,0.0007064356277109637,3.0371381464884134e-06,0.0034404740362223287
TSK,0.003953563200369106,0.0007677975016575452,3.0355359478886083e-06,0.0034386590635679323
PAAS,0.0036557620285627935,0.0007714180574495279,2.8201208425716557e-06,0.003194636552537283
CNC,0.0047357557401607785,0.0005604811554576768,2.654301849210639e-06,0.003006796581533423
EDR,0.0025298497098330745,0.001034910358813906,2.6181676709486032e-06,0.002965863737476098
EXK,0.002410123367312708,0.0010151977934810545,2.4467519245129904e-06,0.0027716837573216638
NCX,0.002078312795213487,0.0007170105086925796,1.4901721145183196e-06,0.0016880689063915664
SM,0.001401319826961118,0.0010237272624475126,1.4345693102683274e-06,0.0016250819775340713
NXE,0.001686364515289436,0.0006459036175949707,1.089228941009236e-06,0.0012338799587951227
WPM,0.0008901729773952888,0.0007397736914680859,6.585265495328498e-07,0.0007459797304414418
GMTL,0.006282532612494352,2.8689426074442508e-05,1.8024225494643086e-07,0.00020417866045716493
RGLD,6.0317576608564524e-05,0.0005373875907597137,3.241391717414095e-08,3.6718527466007195e-05
SH,0.04498217710989006,-0.00013028516772755898,-5.860510489512791e-06,-0.0066387938926946955
